dbs,,,,
#DATANO,0,1,2,3
#DATATYPE,S,S,V,V
0,"Анпан","Анпан - сладкие булочки с начинкой из пасты из красных бобов; повсеместно продаются в японских пекарнях, супермаркетах и школах.",4502,87
1,"Акутагава","Рюноскэ Акутагава - японский писатель периода Тайсё. Он известен своими рассказами, и его часто называют ”Отцом японского рассказа”.",2419,84
2,"Alice","Alice - японская фолк-группа. В число их хитов входит песня ”Fuyu no Inazuma” 1977 года.",415,194
3,"Бэнто","Бэнто - это японский вариант упакованного обеда, который зачастую берут с собой на работу, в школу или просто в дорогу.",414,111
4,"Bomaye","Bomaye - в переводе с языка лингала - "убей его". Выражение известно тем, что во время боя Мохаммеда Али и Джорджа Формана в 1974 году болельщики скандировали: ”Ali bomaye!” Кстати, это звучит очень похоже на слова ”Bomb a head!”",7000,798
5,"Bomb A Head!","”Bomb a Head!” - японский хит в жанре хип-хоп исполнителя m.c.A.T., впервые выпущенный в 1993 году.",415,255
6,"Ботан набэ","Ботан набэ - японское тушёное блюдо из свинины, овощей, грибов и тофу.",3419,111
7,"Будокан","Ниппон Будокан (или просто Будокан) - крытая арена в центре Токио. Арена была построена в 1964 году для соревнований по дзюдо на XVIII олимпийских играх. Её название переводится как ”зал боевого искусства”. ",4506,192
8,"Bus, bath, bass.","Шутка Котоми основана на том, что bus (англ. автобус), bass (англ. окунь), bath (англ. ванна) и the bass (нем. оперная партия) в японской транскрипции являются омонимами.",4507,236
9,"Медведь с рыбой в зубах","Медведь с рыбой в зубах - популярный вид резных фигурок родом с Хоккайдо, второго по величине острова Японии. Молодёжью часто расценивается как обидный подарок.",1428,656
10,"Аудиокассета","На одном из углов аудиокассеты находится язычок, выламывание которого делает запись на кассету невозможной. Однако, если залепить отверстие скотчем, кассета снова будет пригодна для записи.",415,123
11,"Кот-робот из будущего","Кот-робот из будущего - отсылка к классической манге ”Дораэмон”.",1428,550
12,"День детей","День детей - японский национальный праздник, отмечаемый 5 мая.",4504,140
13,"Тильтильмитиль","Тильтиль и Митиль - персонажи пьесы ”Синяя птица” Мориса Метерлинка.",4425,15
14,"Аккорды","Аккорд - одновременное сочетание трёх и более музыкальных звуков разной высоты, звучащих или воспроизводимых одновременно.",7100,429
15,"Закрывающий питчер","Закрывающий питчер (или клоузер) - питчер, закрывающий игру. Обычно появляется на поле в последнем, девятом, иннинге с целью сохранить имеющееся очковое преимущество команды над соперником.",2511,606
16,"Дайфуго","Дайфуго (также известная как дайхинмин) - японская карточная игра для трёх и более игроков стандартной колодой из пятидесяти двух. Похожа на западную игру "President" (которую часто называют "Asshole").",4424,157
17,"Девушка-одуванчик","”Девушка-одуванчик” - научно-фантастический рассказ, написанный Робертом Ф. Янгом. История рассказывает о мужчине средних лет по имени Марк Рэндольф, который встречает девушку вдвое моложе его, утверждающую, что она прибыла из будущего через 240 лет.",4512,454
18,"Данго","Данго - маленькие круглые клёцки из рисовой муки. Обычно сладкие и подаются нанизанными на палочку. Бывают разных видов и вкусов, например со вкусом красных бобов или зелёного чая. Также часто подаются с зелёным чаем и ассоциируются с такими мероприятиями, как ханами.",0,0
19,"Догу","Догу - японские глиняные фигурки, которые были изготовлены в период Дзёмон (13 000 - 300 годы до нашей эры). Некоторые учёные предполагают, что догу представляют собой олицетворения людей, проявляя своего рода симпатическую магию. Например, могло существовать верование, что болезнь может быть перемещена в догу, которую потом уничтожали, избавляясь от болезни или любого другого несчастья.",423,449
20,"Доронжо","Доронжо - босс злодеев в аниме ”Yatterman”. Она сильный и умный лидер, носит сексуальный слитный чёрный купальник и трубку с черепом.",2419,20
21,"Восточная лига","Восточная лига - одна из низших бейсбольных лиг Японии.",429,1252
22,"Энка","Энка - жанр японской песни.",4422,102
23,"Эга-тян","Эгашира Хидэхару, более известный под псевдонимом Эгашира 2:50, - японский комик, который носит только чёрные леггинсы, а в своих выступлениях в значительной степени полагается на шокирующие шутки, которые японская публика считает непристойными, вульгарными и раздражающими.",1511,217
24,"Ханами","Ханами - японская национальная традиция любования цветами.",4425,631
25,"Фритер","Фритер - японский термин, обозначающий фрилансера или человека, работающего на нескольких подработках, вместо того чтобы устроиться на полный рабочий день в какую-либо компанию.",6800,7387
26,"Футаро","”-таро” - суффикс, часто употребляющийся в мужских именах, например Момотаро, Китнаро и т.д.",1004,345
27,"Фукуо","Акихито Фукуо был инфилдером ”Гигантов Ёмиури”, а сейчас является главным тренером команды.",6800,7248
28,"Золотая неделя","”Золотая неделя” - период в конце апреля - начале мая, включающий в себя несколько японских национальных праздников. В это время люди часто берут несколько выходных дней или получают оплачиваемый отпуск.",6503,225
29,"Гёкуро","”Гёкуро” - дорогой японский зелёный чай. Перед сбором последние двадцать дней чайный куст затеняется специальными приспособлениями.",2510,177
30,"Гёдза","Гёдза - японский вариант китайских пельменей цзяоцзы с начинкой из мяса и овощей. В Японии их обычно обжаривают на сковороде, но могут и отваривать, и жарить во фритюре.",3512,52
31,"Гюдон","Гюдон - японское блюдо, состоящее из миски риса, покрытого тушёной говядиной и луком. Популярно среди стеснённых в средствах студентов благодаря низкой цене и достойному вкусу.",5426,323
32,"Хариганэ рок","”Хариганэ рок” - японский комедийный дуэт, существовавший с 1995 по 2014 год. Название возникло из-за того, что один из его участников, Ооэ, ”тощий, как хариганэ (проволока)”, а другой, Юки, любит рок-музыку.",7400,534
33,"Именные суффиксы","Именные суффиксы (хонорифики) в японском языке - суффиксы, которые добавляются к имени (фамилии) при разговоре с человеком или о нём. Именные суффиксы играют важную роль в общении японцев. Они указывают на социальный статус собеседников относительно друг друга, на их отношение друг к другу, на степень их близости.",0,0
34,"Иккоку-доу","Иккоку-доу - знаменитый японский чревовещатель.",423,89
35,"Ippai no Kakesoba","Ippai no Kakesoba - рассказ 1989 года (по которому позднее сняли фильм), предположительно, основанный на реальных событиях, о неблагополучной семье (матери-одиночке с двумя детьми), идущей в канун Нового года в ресторан ”soba-ya” за одной порцией собы.",7600,1502
36,"Аокигахара","Аокигахара - лес у подножия горы Фудзи, также известный как ”Море деревьев”. Это место называют ”Лесом самоубийц”.",5422,12
37,"Система образования в Японии","Школьное образование в Японии подразделяется на шесть лет начальной школы, три года средней школы и три года старшей школы. В начале каждого учебного года учеников распределяют по классам, и, за исключением факультативов, они следуют заранее установленному расписанию и проходят все курсы вместе с другими учениками.",0,0
38,"Дзюбако","Дзюбако - многоуровневые коробки для еды; они ассоциируются с праздниками и роскошью. Обычно бывают от двух до пяти уровней.",3430,227
